,Nightlord,Shifting Earth,Spawn Point,Special Event,Night 1 Boss,Night 2 Boss,Extra Night Boss,Night 1 Circle,Night 2 Circle,Castle,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Arena Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rot Blessing,Frenzy Tower,Scale-Bearing Merchant
103,Gnoster,Mountaintop,Minor Erdtree,,Battlefield Commander,Great Wyrm,,Northeast Corner,Southeast Mountaintop,Trolls,Great Church - Guardian Golem,Fort - Crystalians,Camp - Frenzied Flame Troll,,,,,Great Church - Guardian Golem,Ruins - Albinauric Archers,Fort - Lordsworn Captain,Fort - Lordsworn Captain,Ruins - Ancient Heroes of Zamor,Camp - Leonine Misbegotten,Camp - Leonine Misbegotten,Great Church - Fire Monk,Ruins - Ancient Heroes of Zamor,Church - Normal,Small Camp - Misbegotten,Small Camp - Dogs,,,Church - Normal,Sorcerer's Rise - Fog Door,Small Camp - Foot Soldiers,Small Camp - Caravans,Small Camp - Misbegotten,Church - Normal,Stoneskin Lords,,,,Crystalians,Beastly Brigade,Crucible Knight with Sword,Black Knife Assassin,Tree Sentinel,Erdtree Avatar,Elder Lion,,,,,Ancestor Spirit,Royal Revenant,Golden Hippopotamus,Black Blade Kindred,,,,,,,,,,,Southeast Lakeshore
104,Gnoster,Mountaintop,East of Cavalry Bridge,Day 2 Maris Bubbles,Ulcerated Tree Spirit,Dragonkin Soldier,,Southwest Corner,Southeast Mountaintop,Trolls,Ruins - Beastmen of Farum Azula,Fort - Abductor Virgin,Camp - Flame Chariots,,,,,Camp - Flame Chariots,Fort - Guardian Golem,Fort - Guardian Golem,Great Church - Fire Monk,Great Church - Guardian Golem,Great Church - Guardian Golem,Ruins - Runebear,Ruins - Beastmen of Farum Azula,Camp - Elder Lion,Sorcerer's Rise - Pool Reflection,Church - Normal,Church - Normal,,,Small Camp - Misbegotten,Church - Rats,Small Camp - Misbegotten,Sorcerer's Rise - Windy Trees,Church - Normal,Small Camp - Soldiers,Dragonkin Soldier,,,,Nox Warriors,Bloodhound Knight,Beastmen of Farum Azula,Grafted Scion,Draconic Tree Sentinel,Tree Sentinel,Black Knife Assassin,,,,,Ancestor Spirit,Red Wolf,Elder Lion,Magma Wyrm,,,,,,,,,,,
105,Gnoster,Crater,Below Summonwater Hawk,,Centipede Demon,Dragonkin Soldier,,South of Castle,North of Crater,Crucible Knights,Camp - Royal Army Knights,Ruins - Sanguine Noble,Ruins - Battlemages,Camp - Banished Knights,,Fort - Abductor Virgin,,Ruins - Sanguine Noble,Great Church - Fire Monk,Ruins - Sanguine Noble,Camp - Banished Knights,,,Great Church - Guardian Golem,,Ruins - Battlemages,Small Camp - Soldiers,Small Camp - Soldiers,Sorcerer's Rise - Above Door,,Church - Normal,Small Camp - Soldiers,Church - Normal,Church - Normal,Small Camp - Nobles and Soldiers,Small Camp - Guilty,,Godskin Apostle,,Nox Warriors,,Beastly Brigade,Banished Knights,,Grafted Scion,Ancestor Spirit,Ulcerated Tree Spirit,Elder Lion,Bell Bearing Hunter,,,Demi-Human Queen,Ancient Hero of Zamor,Erdtree Avatar,,,,,,,,,,,,,Southwest Corner
106,Gnoster,Crater,Minor Erdtree,Day 1 Maris Bubbles,Tibia Mariner,Dragonkin Soldier,,Northeast of Lake,North of Crater,Crucible Knights,Ruins - Perfumer,Ruins - Perfumer,Camp - Flame Chariots,Ruins - Wormface,,Fort - Lordsworn Captain,,Camp - Leonine Misbegotten,Ruins - Perfumer,Fort - Crystalians,Camp - Flame Chariots,,,Great Church - Oracle Envoys,,Great Church - Guardian Golem,Sorcerer's Rise - Windy Trees,Church - Normal,Small Camp - Guilty,,Township - Township,Small Camp - Dogs,Church - Normal,Small Camp - Rats and Demi-Humans,Small Camp - Dogs,Church - Normal,,Crucible Knight with Sword,,Omen,,Banished Knights,Nox Warriors,,Ancient Hero of Zamor,Erdtree Avatar,Demi-Human Queen,Ulcerated Tree Spirit,Night's Cavalry,,,Magma Wyrm,Draconic Tree Sentinel,Miranda Blossom,,,,,,,,,,,,,
107,Gnoster,Crater,West of Warmaster's Shack,,Smelter Demon,Draconic Tree Sentinel and Royal Cavalrymen,,Southwest Mistwood,North of Crater,Banished Knights,Fort - Crystalians,Fort - Guardian Golem,Ruins - Perfumer,Fort - Crystalians,,Great Church - Guardian Golem,,Ruins - Wormface,Ruins - Wormface,Ruins - Wormface,Great Church - Mausoleum Knight,,,Camp - Banished Knights,,Camp - Redmane Knights,Church - Normal,Small Camp - Soldiers,Small Camp - Caravans,,Small Camp - Shack,Sorcerer's Rise - Unlit Candle,Church - Normal,Church - Normal,Sorcerer's Rise - Withered Trees,Small Camp - Dogs,,Crucible Knight with Sword,,Nox Warriors,,Omen,Banished Knights,,Leonine Misbegotten,Black Blade Kindred,Magma Wyrm,Red Wolf,Black Knife Assassin,,,Royal Carian Knight,Night's Cavalry,Bell Bearing Hunter,,,,,,,,,,,,,
108,Gnoster,Crater,Minor Erdtree,,Ulcerated Tree Spirit,Draconic Tree Sentinel and Royal Cavalrymen,,South Lake,North of Crater,Trolls,Great Church - Mausoleum Knight,Ruins - Runebear,Ruins - Ancient Heroes of Zamor,Ruins - Ancient Heroes of Zamor,,Fort - Abductor Virgin,,Ruins - Ancient Heroes of Zamor,Ruins - Runebear,Fort - Crystalians,Great Church - Fire Monk,,,Camp - Flame Chariots,,Camp - Leonine Misbegotten,Church - Normal,Church - Normal,Township - Township,,Small Camp - Misbegotten,Sorcerer's Rise - Unlit Candle,Small Camp - Dogs and Soldiers,Small Camp - Shack,Sorcerer's Rise - Withered Trees,Church - Normal,,Crystalians,,Omen,,Banished Knights,Godskin Noble,,Ancient Hero of Zamor,Tree Sentinel,Royal Revenant,Bell Bearing Hunter,Flying Dragon,,,Black Knife Assassin,Night's Cavalry,Black Blade Kindred,,,,,,,,,,,,,
109,Gnoster,Crater,Stormhill South of Gate,Frenzy Tower,Battlefield Commander,Draconic Tree Sentinel and Royal Cavalrymen,,Northeast of Lake,North of Crater,Trolls,Great Church - Fire Monk,Camp - Leonine Misbegotten,Fort - Guardian Golem,Great Church - Mausoleum Knight,,Ruins - Battlemages,,Ruins - Perfumer,Fort - Lordsworn Captain,Great Church - Fire Monk,Ruins - Perfumer,,,Fort - Guardian Golem,,Camp - Royal Army Knights,Sorcerer's Rise - Fog Door,Church - Normal,Small Camp - Rats and Demi-Humans,,Church - Normal,Small Camp - Dogs,Church - Normal,Small Camp - Caravans,Township - Township,Small Camp - Dogs and Soldiers,,Nox Warriors,,Death Rite Bird,,Omen,Crucible Knight with Spear,,Grafted Scion,Royal Carian Knight,Red Wolf,Tree Sentinel,Black Knife Assassin,,,Ulcerated Tree Spirit,Night's Cavalry,Erdtree Avatar,,,,,,,,,,,,South,
110,Gnoster,Rotted Woods,Far Southwest,,Smelter Demon,Great Wyrm,,West Stormhill Graveyard,Southeast Rotted Woods,Crucible Knights,Camp - Leonine Misbegotten,Great Church - Fire Monk,Ruins - Sanguine Noble,Camp - Redmane Knights,Ruins - Sanguine Noble,Camp - Redmane Knights,Ruins - Perfumer,,,,,Ruins - Perfumer,Fort - Lordsworn Captain,Fort - Abductor Virgin,Camp - Leonine Misbegotten,Great Church - Guardian Golem,Small Camp - Shack,Small Camp - Misbegotten,Church - Normal,Sorcerer's Rise - Imp Statue,Small Camp - Caravans,,,,Church - Normal,Sorcerer's Rise - Windy Trees,Church - Normal,Crucible Knight with Sword,Beastmen of Farum Azula,Godskin Apostle,Bloodhound Knight,,Stoneskin Lords,Omen,Bell Bearing Hunter,Draconic Tree Sentinel,Red Wolf,Demi-Human Queen,Royal Revenant,Ancestor Spirit,Black Knife Assassin,Erdtree Avatar,,,Elder Lion,Golden Hippopotamus,Putrid Ancestral Followers,Tree Sentinel,Ulcerated Tree Spirit,Death Rite Bird,Black Blade Kindred,Royal Carian Knight,Putrid Ancestral Followers,Magma Wyrm,Northeast,,
111,Gnoster,Rotted Woods,Far Southwest,,Centipede Demon,Great Wyrm,,Northeast Corner,Southeast Rotted Woods,Trolls,Fort - Crystalians,Great Church - Guardian Golem,Camp - Elder Lion,Camp - Redmane Knights,Fort - Abductor Virgin,Ruins - Runebear,Ruins - Wormface,,,,,Camp - Redmane Knights,Fort - Abductor Virgin,Great Church - Oracle Envoys,Great Church - Guardian Golem,Ruins - Runebear,Small Camp - Foot Soldiers,Church - Normal,Small Camp - Misbegotten,Sorcerer's Rise - Windy Trees,Sorcerer's Rise - Fake Building,,,,Township - Township,Church - Normal,Church - Normal,Grave Warden Duelist,Nox Warriors,Bloodhound Knight,Omen,,Godskin Noble,Dragonkin Soldier,Leonine Misbegotten,Royal Carian Knight,Night's Cavalry,Red Wolf,Demi-Human Queen,Death Rite Bird,Black Knife Assassin,Black Blade Kindred,,,Ancient Hero of Zamor,Grafted Scion,Putrid Ancestral Followers,Draconic Tree Sentinel,Tree Sentinel,Death Rite Bird,Erdtree Avatar,Putrid Ancestral Followers,Ulcerated Tree Spirit,Bell Bearing Hunter,Southwest,,South of Castle
112,Gnoster,Rotted Woods,Northeast of Saintsbridge,Difficult Sorcerer's Rise,Ulcerated Tree Spirit,Dragonkin Soldier,,Northwest Lake,Northwest Rotted Woods,Crucible Knights,Ruins - Runebear,Camp - Frenzied Flame Troll,Great Church - Mausoleum Knight,Fort - Crystalians,Camp - Frenzied Flame Troll,Ruins - Albinauric Archers,Camp - Frenzied Flame Troll,,,,,Great Church - Guardian Golem,Fort - Crystalians,Ruins - Runebear,Fort - Abductor Virgin,Camp - Elder Lion,Church - Normal,Church - Normal,Small Camp - Misbegotten,Sorcerer's Rise - Unlit Candle,"Difficult Sorcerer's Rise - Fake Building, Right of Door, Unlit Candle",,,,Sorcerer's Rise - Fake Building,Church - Normal,Small Camp - Shack,Stoneskin Lords,Death Rite Bird,Nox Warriors,Godskin Noble,,Beastly Brigade,Crucible Knight with Spear,Red Wolf,Black Blade Kindred,Erdtree Avatar,Night's Cavalry,Demi-Human Queen,Black Knife Assassin,Golden Hippopotamus,Royal Carian Knight,,,Miranda Blossom,Ancient Hero of Zamor,Putrid Ancestral Followers,Bell Bearing Hunter,Tree Sentinel,Magma Wyrm,Death Rite Bird,Ancestor Spirit,Black Blade Kindred,Putrid Ancestral Followers,Southwest,,
113,Gnoster,Rotted Woods,Northeast of Saintsbridge,Day 1 Morgott Invasion,Tibia Mariner,Draconic Tree Sentinel and Royal Cavalrymen,,East of Saintsbridge,Southeast Rotted Woods,Trolls,Camp - Flame Chariots,Ruins - Battlemages,Great Church - Fire Monk,Fort - Abductor Virgin,Ruins - Battlemages,Ruins - Battlemages,Great Church - Oracle Envoys,,,,,Ruins - Perfumer,Great Church - Fire Monk,Camp - Frenzied Flame Troll,Fort - Guardian Golem,Camp - Flame Chariots,Sorcerer's Rise - Fog Door,Church - Normal,Small Camp - Dogs,Township - Township,Church - Normal,,,,Sorcerer's Rise - Fake Building,Church - Normal,Small Camp - Nobles and Soldiers,Beastmen of Farum Azula,Stoneskin Lords,Banished Knights,Crucible Knight with Sword,,Crucible Knight with Spear,Death Rite Bird,Royal Revenant,Royal Carian Knight,Leonine Misbegotten,Red Wolf,Grafted Scion,Miranda Blossom,Flying Dragon,Black Knife Assassin,,,Magma Wyrm,Golden Hippopotamus,Tree Sentinel,Black Blade Kindred,Erdtree Avatar,Ulcerated Tree Spirit,Bell Bearing Hunter,Putrid Ancestral Followers,Putrid Ancestral Followers,Ancestor Spirit,West,,
114,Gnoster,Rotted Woods,West of Warmaster's Shack,,Battlefield Commander,Dragonkin Soldier,,Northeast Corner,Southeast Rotted Woods,Banished Knights,Camp - Frenzied Flame Troll,Great Church - Oracle Envoys,Ruins - Perfumer,Great Church - Guardian Golem,Fort - Crystalians,Ruins - Wormface,Ruins - Perfumer,,,,,Ruins - Perfumer,Camp - Flame Chariots,Ruins - Perfumer,Camp - Flame Chariots,Fort - Guardian Golem,Church - Normal,Church - Normal,Sorcerer's Rise - Unlit Candle,Church - Normal,Small Camp - Foot Soldiers,,,,Small Camp - Guilty,Township - Township,Small Camp - Soldiers,Omen,Beastmen of Farum Azula,Dragonkin Soldier,Bloodhound Knight,,Crystalians,Crucible Knight with Sword,Leonine Misbegotten,Royal Carian Knight,Miranda Blossom,Magma Wyrm,Death Rite Bird,Night's Cavalry,Black Knife Assassin,Ancient Hero of Zamor,,,Elder Lion,Grafted Scion,Draconic Tree Sentinel,Bell Bearing Hunter,Death Rite Bird,Ulcerated Tree Spirit,Ancestor Spirit,Putrid Ancestral Followers,Erdtree Avatar,Putrid Ancestral Followers,West,,
115,Gnoster,Noklateo,Below Summonwater Hawk,Day 2 Maris Bubbles,Ulcerated Tree Spirit,Draconic Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,Noklateo Entrance,,,,,Ruins - Battlemages,Ruins - Depraved Perfumer,Camp - Banished Knights,Camp - Banished Knights,Fort - Lordsworn Captain,Camp - Flame Chariots,Great Church - Guardian Golem,Ruins - Perfumer,Great Church - Mausoleum Knight,Great Church - Guardian Golem,Camp - Elder Lion,Fort - Guardian Golem,Camp - Banished Knights,,,,Small Camp - Soldiers,Church - Normal,Small Camp - Soldiers,Small Camp - Misbegotten,Sorcerer's Rise - Unlit Candle,Church - Rats,Church - Normal,Church - Normal,,Omen,Bloodhound Knight,Beastmen of Farum Azula,Godskin Noble,Dragonkin Soldier,Stoneskin Lords,,,,,Erdtree Avatar,Night's Cavalry,Black Blade Kindred,Ancient Hero of Zamor,Flying Dragon,Leonine Misbegotten,Golden Hippopotamus,Grafted Scion,,,,,,,,,,,Ruins North of Castle
116,Gnoster,Noklateo,Below Summonwater Hawk,,Centipede Demon,Dragonkin Soldier,,Northeast Corner,Noklateo Entrance,,,,,Ruins - Runebear,Ruins - Depraved Perfumer,Ruins - Depraved Perfumer,Great Church - Fire Monk,Ruins - Runebear,Camp - Royal Army Knights,Camp - Redmane Knights,Great Church - Fire Monk,Fort - Guardian Golem,Camp - Elder Lion,Fort - Crystalians,Ruins - Albinauric Archers,Great Church - Oracle Envoys,,,,Church - Normal,Township - Township,Sorcerer's Rise - Unlit Candle,Church - Normal,Church - Normal,Small Camp - Demi-Humans,Small Camp - Dogs,Small Camp - Caravans,,Crystalians,Grave Warden Duelist,Crucible Knight with Sword,Nox Warriors,Godskin Noble,Beastmen of Farum Azula,,,,,Red Wolf,Leonine Misbegotten,Bell Bearing Hunter,Night's Cavalry,Royal Carian Knight,Golden Hippopotamus,Demi-Human Queen,Black Blade Kindred,,,,,,,,,,,
117,Gnoster,Noklateo,East of Cavalry Bridge,Day 2 Morgott Invasion,Battlefield Commander,Great Wyrm,,West Stormhill Graveyard,Noklateo Entrance,,,,,Ruins - Depraved Perfumer,Fort - Abductor Virgin,Camp - Flame Chariots,Camp - Elder Lion,Camp - Elder Lion,Great Church - Mausoleum Knight,Ruins - Albinaurics,Fort - Lordsworn Captain,Ruins - Depraved Perfumer,Great Church - Mausoleum Knight,Camp - Redmane Knights,Great Church - Fire Monk,Ruins - Erdtree Burial Watchdogs,,,,Church - Normal,Sorcerer's Rise - Windy Trees,Church - Normal,Small Camp - Demi-Humans,Church - Normal,Township - Township,Small Camp - Guilty,Sorcerer's Rise - Fog Door,,Banished Knights,Beastly Brigade,Godskin Noble,Bloodhound Knight,Beastmen of Farum Azula,Crucible Knight with Spear,,,,,Miranda Blossom,Royal Revenant,Draconic Tree Sentinel,Demi-Human Queen,Tree Sentinel,Black Knife Assassin,Grafted Scion,Ulcerated Tree Spirit,,,,,,,,,,,
118,Gnoster,Noklateo,West of Warmaster's Shack,,Tibia Mariner,Great Wyrm,,West Stormhill Graveyard,Noklateo Entrance,,,,,Great Church - Oracle Envoys,Ruins - Beastmen of Farum Azula,Camp - Elder Lion,Camp - Leonine Misbegotten,Fort - Lordsworn Captain,Ruins - Albinauric Archers,Ruins - Battlemages,Ruins - Beastmen of Farum Azula,Great Church - Mausoleum Knight,Fort - Abductor Virgin,Camp - Redmane Knights,Camp - Redmane Knights,Ruins - Albinauric Archers,,,,Sorcerer's Rise - Withered Trees,Small Camp - Shack,Church - Normal,Small Camp - Caravans,Small Camp - Soldiers,Sorcerer's Rise - Windy Trees,Church - Normal,Church - Normal,,Godskin Duo,Nox Warriors,Grave Warden Duelist,Crucible Knight with Sword,Banished Knights,Godskin Noble,,,,,Demi-Human Queen,Flying Dragon,Golden Hippopotamus,Draconic Tree Sentinel,Elder Lion,Night's Cavalry,Black Blade Kindred,Leonine Misbegotten,,,,,,,,,,,
119,Gnoster,Noklateo,Southeast of Lake,,Smelter Demon,Dragonkin Soldier,,West Stormhill Graveyard,Noklateo Entrance,,,,,Great Church - Fire Monk,Ruins - Wormface,Camp - Flame Chariots,Ruins - Albinaurics,Fort - Crystalians,Fort - Abductor Virgin,Ruins - Albinaurics,Camp - Frenzied Flame Troll,Fort - Abductor Virgin,Ruins - Sanguine Noble,Great Church - Oracle Envoys,Camp - Leonine Misbegotten,Great Church - Fire Monk,,,,Small Camp - Caravans,Church - Normal,Small Camp - Demi-Humans,Church - Normal,Sorcerer's Rise - Imp Statue,Small Camp - Soldiers,Sorcerer's Rise - Windy Trees,Church - Normal,,Beastly Brigade,Nox Warriors,Crucible Knight with Sword,Beastmen of Farum Azula,Godskin Noble,Bloodhound Knight,,,,,Flying Dragon,Grafted Scion,Death Rite Bird,Miranda Blossom,Leonine Misbegotten,Royal Revenant,Night's Cavalry,Ulcerated Tree Spirit,,,,,,,,,,,
120,Maris,Default,Southeast of Lake,,Gaping Dragon,Godskin Duo,,South Lake,West Stormhill Graveyard,Banished Knights,Fort - Lordsworn Captain,Ruins - Sanguine Noble,Camp - Frenzied Flame Troll,Ruins - Beastmen of Farum Azula,Ruins - Perfumer,Ruins - Sanguine Noble,Camp - Frenzied Flame Troll,Camp - Elder Lion,Great Church - Mausoleum Knight,Ruins - Beastmen of Farum Azula,Ruins - Beastmen of Farum Azula,Camp - Leonine Misbegotten,Ruins - Sanguine Noble,Great Church - Fire Monk,Fort - Crystalians,Ruins - Sanguine Noble,Small Camp - Dogs,Church - Normal,Church - Normal,Small Camp - Caravans,Sorcerer's Rise - Pool Reflection,Small Camp - Nobles and Soldiers,Sorcerer's Rise - Unlit Candle,Small Camp - Soldiers,Church - Normal,Small Camp - Dogs,Small Camp - Soldiers,Nox Warriors,Omen,Dragonkin Soldier,Stoneskin Lords,Banished Knights,Beastmen of Farum Azula,Crucible Knight with Sword,Red Wolf,Bell Bearing Hunter,Grafted Scion,Draconic Tree Sentinel,Black Knife Assassin,Golden Hippopotamus,Royal Revenant,Royal Carian Knight,Ulcerated Tree Spirit,Miranda Blossom,Ancient Hero of Zamor,Tree Sentinel,,,,,,,,,,,
121,Maris,Default,Northeast of Saintsbridge,Day 1 Gnoster Plague,Valiant Gargoyle,Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,Northeast Corner,Crucible Knights,Camp - Flame Chariots,Fort - Abductor Virgin,Camp - Elder Lion,Camp - Elder Lion,Fort - Abductor Virgin,Ruins - Runebear,Ruins - Albinauric Archers,Camp - Elder Lion,Ruins - Runebear,Great Church - Oracle Envoys,Fort - Lordsworn Captain,Ruins - Perfumer,Camp - Royal Army Knights,Camp - Elder Lion,Great Church - Guardian Golem,Fort - Lordsworn Captain,Small Camp - Dogs,Church - Normal,Church - Normal,Small Camp - Dogs and Soldiers,Sorcerer's Rise - Windy Trees,Small Camp - Caravans,Sorcerer's Rise - Withered Trees,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Missing Statue,Church - Rats,Banished Knights,Beastly Brigade,Nox Warriors,Stoneskin Lords,Crucible Knight with Spear,Crucible Knight with Sword,Omen,Grafted Scion,Draconic Tree Sentinel,Golden Hippopotamus,Flying Dragon,Red Wolf,Ancient Hero of Zamor,Elder Lion,Ulcerated Tree Spirit,Erdtree Avatar,Miranda Blossom,Demi-Human Queen,Magma Wyrm,,,,,,,,,,,
122,Maris,Default,Southeast of Lake,Day 2 Gnoster Plague,Wormface,Godskin Duo,,Southwest Mistwood,Northwest of Castle,Banished Knights,Ruins - Erdtree Burial Watchdogs,Camp - Flame Chariots,Ruins - Battlemages,Fort - Lordsworn Captain,Ruins - Erdtree Burial Watchdogs,Great Church - Fire Monk,Camp - Leonine Misbegotten,Great Church - Guardian Golem,Fort - Lordsworn Captain,Ruins - Battlemages,Great Church - Guardian Golem,Fort - Guardian Golem,Camp - Frenzied Flame Troll,Ruins - Albinaurics,Ruins - Battlemages,Ruins - Albinaurics,Church - Normal,Church - Normal,Small Camp - Dogs and Soldiers,Small Camp - Dogs,Small Camp - Dogs and Soldiers,Church - Rats,Small Camp - Caravans,Small Camp - Dogs,Sorcerer's Rise - Pool Reflection,Church - Normal,Sorcerer's Rise - Unlit Candle,Beastly Brigade,Grave Warden Duelist,Crucible Knight with Sword,Banished Knights,Nox Warriors,Stoneskin Lords,Dragonkin Soldier,Ancient Hero of Zamor,Ulcerated Tree Spirit,Golden Hippopotamus,Flying Dragon,Draconic Tree Sentinel,Bell Bearing Hunter,Night's Cavalry,Red Wolf,Miranda Blossom,Magma Wyrm,Grafted Scion,Elder Lion,,,,,,,,,,,
123,Maris,Default,Far Southwest,,Gaping Dragon,Tree Sentinel and Royal Cavalrymen,,East of Saintsbridge,Northwest Corner,Trolls,Fort - Abductor Virgin,Great Church - Guardian Golem,Ruins - Depraved Perfumer,Ruins - Albinauric Archers,Ruins - Albinauric Archers,Fort - Lordsworn Captain,Camp - Banished Knights,Camp - Redmane Knights,Great Church - Fire Monk,Camp - Banished Knights,Ruins - Wormface,Ruins - Depraved Perfumer,Camp - Royal Army Knights,Fort - Abductor Virgin,Fort - Lordsworn Captain,Ruins - Wormface,Church - Rats,Church - Normal,Township - Township,Small Camp - Caravans,Church - Normal,Small Camp - Guilty,Sorcerer's Rise - Unlit Candle,Small Camp - Soldiers,Sorcerer's Rise - Above Door,Small Camp - Caravans,Church - Normal,Grave Warden Duelist,Stoneskin Lords,Beastly Brigade,Nox Warriors,Crucible Knight with Spear,Crystalians,Crucible Knight with Sword,Bell Bearing Hunter,Black Blade Kindred,Flying Dragon,Black Knife Assassin,Demi-Human Queen,Red Wolf,Grafted Scion,Magma Wyrm,Royal Carian Knight,Golden Hippopotamus,Elder Lion,Ancestor Spirit,,,,,,,,,,,
124,Maris,Default,Minor Erdtree,,Wormface,Fallingstar Beast,,Southwest Corner,Southwest Mistwood,Banished Knights,Fort - Guardian Golem,Great Church - Fire Monk,Ruins - Albinaurics,Camp - Leonine Misbegotten,Camp - Banished Knights,Camp - Frenzied Flame Troll,Ruins - Beastmen of Farum Azula,Great Church - Oracle Envoys,Camp - Banished Knights,Fort - Lordsworn Captain,Ruins - Albinaurics,Fort - Guardian Golem,Camp - Frenzied Flame Troll,Ruins - Wormface,Great Church - Fire Monk,Ruins - Wormface,Sorcerer's Rise - Fake Building,Small Camp - Caravans,Sorcerer's Rise - Withered Trees,Church - Normal,Township - Township,Church - Normal,Church - Normal,Small Camp - Wandering Nobles,Small Camp - Guilty,Sorcerer's Rise - Above Door,Small Camp - Dogs and Soldiers,Crystalians,Crucible Knight with Spear,Beastly Brigade,Omen,Godskin Noble,Banished Knights,Stoneskin Lords,Leonine Misbegotten,Tree Sentinel,Elder Lion,Royal Carian Knight,Draconic Tree Sentinel,Miranda Blossom,Magma Wyrm,Red Wolf,Black Knife Assassin,Ulcerated Tree Spirit,Grafted Scion,Royal Revenant,,,,,,,,,,,
